Type,File,Line,CLJ,CQL,CNL,CLJ_Code,CQL_Column,CQL_Code,CNL_Column,CNL_Code
assignment_as_value,AEDataModel.h,41,+,-,-,"{typeBoolean = 'bool', typeChar = 'TEXT'}",,,,
assignment_as_value,AEDataModel.h,50,+,-,-,"{typeStyledUnicodeText = 'sutx', typeEncodedString = 'encs', typeUnicodeText = 'utxt', typeCString = 'cstr', typePString = 'pstr'}",,,,
assignment_as_value,AEDataModel.h,61,+,-,-,"{typeUTF16ExternalRepresentation = 'ut16', typeUTF8Text = 'utf8'}",,,,
assignment_as_value,AEDataModel.h,67,+,-,-,"{typeSInt16 = 'shor', typeUInt16 = 'ushr', typeSInt32 = 'long', typeUInt32 = 'magn', typeSInt64 = 'comp', typeUInt64 = 'ucom', typeIEEE32BitFloatingPoint = 'sing', typeIEEE64BitFloatingPoint = 'doub', type128BitFloatingPoint = 'ldbl', typeDecimalStruct = 'decm'}",,,,
assignment_as_value,AEDataModel.h,105,+,-,-,"{typeSMInt = typeSInt16, typeShortInteger = typeSInt16, typeInteger = typeSInt32, typeLongInteger = typeSInt32, typeMagnitude = typeUInt32, typeComp = typeSInt64, typeSMFloat = typeIEEE32BitFloatingPoint, typeShortFloat = typeIEEE32BitFloatingPoint, typeFloat = typeIEEE64BitFloatingPoint, typeLongFloat = typeIEEE64BitFloatingPoint, typeExtended = 'exte'}",,,,
assignment_as_value,AEDataModel.h,122,+,-,-,"{typeAEList = 'list', typeAERecord = 'reco', typeAppleEvent = 'aevt', typeEventRecord = 'evrc', typeTrue = 'true', typeFalse = 'fals', typeAlias = 'alis', typeEnumerated = 'enum', typeType = 'type', typeAppParameters = 'appa', typeProperty = 'prop', typeFSRef = 'fsrf', typeFileURL = 'furl', typeBookmarkData = 'bmrk', typeKeyword = 'keyw', typeSectionH = 'sect', typeWildCard = '****', typeApplSignature = 'sign', typeQDRectangle = 'qdrt', typeFixed = 'fixd', typeProcessSerialNumber = 'psn ', typeApplicationURL = 'aprl', typeNull = 'null'}",,,,
assignment_as_value,AEDataModel.h,154,+,-,-,{typeFSS = 'fss '},,,,
assignment_as_value,AEDataModel.h,160,+,-,-,"{typeCFAttributedStringRef = 'cfas', typeCFMutableAttributedStringRef = 'cfaa', typeCFStringRef = 'cfst', typeCFMutableStringRef = 'cfms', typeCFArrayRef = 'cfar', typeCFMutableArrayRef = 'cfma', typeCFDictionaryRef = 'cfdc', typeCFMutableDictionaryRef = 'cfmd', typeCFNumberRef = 'cfnb', typeCFBooleanRef = 'cftf', typeCFTypeRef = 'cfty'}",,,,
assignment_as_value,AEDataModel.h,175,+,-,-,"{typeKernelProcessID = 'kpid', typeMachPort = 'port'}",,,,
assignment_as_value,AEDataModel.h,181,+,-,-,{typeAuditToken = 'tokn'},,,,
