Type,File,Line,CLJ,CQL,CNL,CLJ_Code,CQL_Column,CQL_Code,CNL_Column,CNL_Code
conditional,CFString.h,880,+,-,-,(character >= 0xD800UL) && (character <= 0xDBFFUL) ? true : false,,,,
conditional,CFString.h,884,+,-,-,(character >= 0xDC00UL) && (character <= 0xDFFFUL) ? true : false,,,,
conditional,_ctype.h,50,+,-,-,"isascii(_c) ? (_DefaultRuneLocale.__runetype[_c] & _f) : __maskrune_l(_c, _f, _l)",,,,
conditional,_ctype.h,78,+,-,-,(_x & _CTYPE_R) != 0 ? 1 : -1,,,,
conditional,_ctype.h,158,+,-,-,"isascii(_c) ? !!(_DefaultRuneLocale.__runetype[_c] & _f) : !!__maskrune(_c, _f)",,,,
conditional,_ctype.h,203,+,-,-,(_x & _CTYPE_R) != 0 ? 1 : -1,,,,
conditional,abspath.c,220,+,+,+,die_on_error ? REALPATH_DIE_ON_ERROR : 0,6.0,				 die_on_error ? REALPATH_DIE_ON_ERROR : 0);,5.0,die_on_error ? REALPATH_DIE_ON_ERROR : 0
conditional,abspath.c,231,+,+,+,die_on_error ? REALPATH_DIE_ON_ERROR : 0,8.0,				 ((die_on_error ? REALPATH_DIE_ON_ERROR : 0) |,7.0,die_on_error ? REALPATH_DIE_ON_ERROR : 0
conditional,abspath.c,270,+,+,+,pfx ? strlen(pfx) : 0,19.0,	size_t pfx_len = pfx ? strlen(pfx) : 0;,18.0,pfx ? strlen ( pfx ) : 0
conditional,add-interactive.c,69,+,+,+,"s->use_color ? GIT_COLOR_RESET : """"",3.0,"		s->use_color ? GIT_COLOR_RESET : """", COLOR_MAXLEN);",2.0,"s -> use_color ? GIT_COLOR_RESET : """""
conditional,add-interactive.c,246,+,+,+,selected ? selected[i] : 0,23.0,"		opts->print_item(i, selected ? selected[i] : 0, list->items + i,",22.0,selected ? selected [ i ] : 0
conditional,add-interactive.c,291,+,+,+,singleton ? LIST_AND_CHOOSE_ERROR : 0,16.0,	ssize_t res = singleton ? LIST_AND_CHOOSE_ERROR : 0;,15.0,singleton ? LIST_AND_CHOOSE_ERROR : 0
conditional,add-interactive.c,311,+,+,+,"singleton ? ""> "" : "">> """,9.0,"		fputs(singleton ? ""> "" : "">> "", stdout);",8.0,"singleton ? ""> "" : "">> """
conditional,add-interactive.c,402,+,+,+,choose ? +1 : -1,13.0,					res += choose ? +1 : -1;,12.0,choose ? + 1 : - 1
conditional,add-interactive.c,450,-,+,+,,26.0,"	return strcmp(e1->name, name ? (const char *)name : e2->name);",25.0,name ? ( const char * ) name : e2 -> name
conditional,add-interactive.c,500,+,+,+,s->mode == FROM_INDEX ? &file_item->index : &file_item->worktree,12.0,"		adddel = s->mode == FROM_INDEX ?
			&file_item->index : &file_item->worktree;",11.0,s -> mode == FROM_INDEX ? & file_item -> index : & file_item -> worktree
conditional,add-interactive.c,502,+,+,+,s->mode == FROM_INDEX ? &file_item->worktree : &file_item->index,18.0,"		other_adddel = s->mode == FROM_INDEX ?
			&file_item->worktree : &file_item->index;",17.0,s -> mode == FROM_INDEX ? & file_item -> worktree : & file_item -> index
conditional,add-interactive.c,554,+,+,+,(i == 0) ? FROM_INDEX : FROM_WORKTREE,13.0,			s.mode = (i == 0) ? FROM_INDEX : FROM_WORKTREE;,12.0,( i == 0 ) ? FROM_INDEX : FROM_WORKTREE
conditional,add-interactive.c,556,+,+,+,(i == 0) ? FROM_WORKTREE : FROM_INDEX,13.0,			s.mode = (i == 0) ? FROM_WORKTREE : FROM_INDEX;,12.0,( i == 0 ) ? FROM_WORKTREE : FROM_INDEX
conditional,add-interactive.c,559,+,+,+,is_initial ? empty_tree_oid_hex() : oid_to_hex(&head_oid),13.0,"		opt.def = is_initial ?
			empty_tree_oid_hex() : oid_to_hex(&head_oid);",12.0,is_initial ? empty_tree_oid_hex ( ) : oid_to_hex ( & head_oid )
conditional,add-interactive.c,650,+,+,+,selected ? '*' : ' ',23.0,"		printf(""%c%2d: %s"", selected ? '*' : ' ', i + 1,",22.0,selected ? '*' : ' '
conditional,add-interactive.c,651,+,+,+,highlighted ? highlighted : item->string,10.0,		       highlighted ? highlighted : item->string);,9.0,highlighted ? highlighted : item -> string
conditional,add-interactive.c,659,+,+,+,highlighted ? highlighted : item->string,7.0,		    highlighted ? highlighted : item->string);,6.0,highlighted ? highlighted : item -> string
conditional,add-interactive.c,661,+,+,+,selected ? '*' : ' ',22.0,"	printf(""%c%2d: %s"", selected ? '*' : ' ', i + 1, d->buf.buf);",21.0,selected ? '*' : ' '
conditional,add-interactive.c,1016,+,+,+,!is_initial ? &oid : s->r->hash_algo->empty_tree,20.0,"			     oid_to_hex(!is_initial ? &oid :
					s->r->hash_algo->empty_tree),",19.0,! is_initial ? & oid : s -> r -> hash_algo -> empty_tree
conditional,add-patch.c,332,+,+,+,*p == pend + 1 ? -1 : 0,9.0,	return *p == pend + 1 ? -1 : 0;,8.0,* p == pend + 1 ? - 1 : 0
conditional,add-patch.c,421,+,+,+,"!strcmp(""HEAD"", s->revision) && repo_get_oid(the_repository, ""HEAD"", &oid) ? empty_tree_oid_hex() : s->revision",8.0,"			    !strcmp(""HEAD"", s->revision) &&
			    repo_get_oid(the_repository, ""HEAD"", &oid) ?
			    empty_tree_oid_hex() : s->revision);",7.0,"! strcmp ( ""HEAD"" , s -> revision ) && repo_get_oid ( the_repository , ""HEAD"" , & oid ) ? empty_tree_oid_hex ( ) : s -> revision"
conditional,add-patch.c,593,+,+,+,eol == pend ? pend : eol + 1,7.0,		p = eol == pend ? pend : eol + 1;,6.0,eol == pend ? pend : eol + 1
conditional,add-patch.c,983,+,+,+,marker ? marker : ' ',10.0,				ch = marker ? marker : ' ';,9.0,marker ? marker : ' '
conditional,add-patch.c,1088,+,+,+,plain[current] == '-' ? s->s.file_old_color : plain[current] == '+' ? s->s.file_new_color : s->s.context_color,10.0,"			      plain[current] == '-' ?
			      s->s.file_old_color :
			      plain[current] == '+' ?
			      s->s.file_new_color :
			      s->s.context_color);",9.0,plain [ current ] == '-' ? s -> s . file_old_color : plain [ current ] == '+' ? s -> s . file_new_color : s -> s . context_color
conditional,add-patch.c,1090,+,+,+,plain[current] == '+' ? s->s.file_new_color : s->s.context_color,10.0,"			      plain[current] == '+' ?
			      s->s.file_new_color :
			      s->s.context_color);",9.0,plain [ current ] == '+' ? s -> s . file_new_color : s -> s . context_color
conditional,add-patch.c,1117,+,+,+,s->mode->is_reverse ? '+' : '-',10.0,"			      s->mode->is_reverse ? '+' : '-',",9.0,s -> mode -> is_reverse ? '+' : '-'
conditional,add-patch.c,1118,+,+,+,s->mode->is_reverse ? '-' : '+',10.0,"			      s->mode->is_reverse ? '-' : '+',",9.0,s -> mode -> is_reverse ? '-' : '+'
