Type,File,Line,CLJ,CQL,CLJ_Code,CQL_Column,CQL_Code
implicit_predicate,_fd_def.h,82,+,-,"if (__darwin_check_fd_set(_fd, (const void*)_p)){
    return _p->fds_bits[(unsigned long )_fd / __DARWIN_NFDBITS] & ((__int32_t)(((unsigned long )1) << ((unsigned long )_fd % __DARWIN_NFDBITS)));
}
",,
implicit_predicate,_fd_def.h,92,+,-,"if (__darwin_check_fd_set(_fd, (const void*)_p)){
    (_p->fds_bits[(unsigned long )_fd / __DARWIN_NFDBITS] |= ((__int32_t)(((unsigned long )1) << ((unsigned long )_fd % __DARWIN_NFDBITS))));
}
",,
implicit_predicate,_fd_def.h,100,+,-,"if (__darwin_check_fd_set(_fd, (const void*)_p)){
    (_p->fds_bits[(unsigned long )_fd / __DARWIN_NFDBITS] &= ~((__int32_t)(((unsigned long )1) << ((unsigned long )_fd % __DARWIN_NFDBITS))));
}
",,
implicit_predicate,abspath.c,90,+,-,"if (flags & REALPATH_DIE_ON_ERROR)
    die(""The empty string is not a valid path"");
else
    goto error_out;
",,
implicit_predicate,abspath.c,102,+,-,"if (flags & REALPATH_DIE_ON_ERROR)
    die_errno(""unable to get current working directory"");
else
    goto error_out;
",,
implicit_predicate,abspath.c,132,+,-,"if (flags & REALPATH_DIE_ON_ERROR)
    die_errno(""Invalid path '%s'"", resolved->buf);
else
    goto error_out;
",,
implicit_predicate,abspath.c,145,+,-,"if (flags & REALPATH_DIE_ON_ERROR)
    die(""More than %d nested symlinks on path '%s'"", MAXSYMLINKS, path);
else
    goto error_out;
",,
implicit_predicate,abspath.c,155,+,-,"if (flags & REALPATH_DIE_ON_ERROR)
    die_errno(""Invalid symlink '%s'"", resolved->buf);
else
    goto error_out;
",,
implicit_predicate,abspath.c,220,+,+,die_on_error ? REALPATH_DIE_ON_ERROR : 0,6,				 die_on_error ? REALPATH_DIE_ON_ERROR : 0);
implicit_predicate,abspath.c,231,+,+,die_on_error ? REALPATH_DIE_ON_ERROR : 0,8,				 ((die_on_error ? REALPATH_DIE_ON_ERROR : 0) |
implicit_predicate,abspath.c,270,-,+,,19,	size_t pfx_len = pfx ? strlen(pfx) : 0;
implicit_predicate,add-interactive.c,69,-,+,,3,"		s->use_color ? GIT_COLOR_RESET : """", COLOR_MAXLEN);"
implicit_predicate,add-interactive.c,246,-,+,,23,"		opts->print_item(i, selected ? selected[i] : 0, list->items + i,"
implicit_predicate,add-interactive.c,291,+,+,singleton ? LIST_AND_CHOOSE_ERROR : 0,16,	ssize_t res = singleton ? LIST_AND_CHOOSE_ERROR : 0;
implicit_predicate,add-interactive.c,311,+,+,"singleton ? ""> "" : "">> """,9,"		fputs(singleton ? ""> "" : "">> "", stdout);"
implicit_predicate,add-interactive.c,316,+,-,"if (immediate)
    res = LIST_AND_CHOOSE_QUIT;
",,
implicit_predicate,add-interactive.c,391,+,-,"if (singleton){
    res = from;
    break;
}
",,
implicit_predicate,add-interactive.c,402,+,+,choose ? +1 : -1,13,					res += choose ? +1 : -1;
implicit_predicate,add-interactive.c,450,-,+,,26,"	return strcmp(e1->name, name ? (const char *)name : e2->name);"
implicit_predicate,add-interactive.c,487,+,-,"if (s->skip_unseen)
    continue;
",,
