Type,File,Line,CLJ,CQL,CLJ_Code,CQL_Column,CQL_Code
logic_as_control_flow,abspath.c,13,-,+,,10,"	return (!stat(path, &st) && S_ISDIR(st.st_mode));"
logic_as_control_flow,abspath.c,115,-,+,,14,"		} else if (next.len == 1 && !strcmp(next.buf, ""."")) {"
logic_as_control_flow,abspath.c,117,-,+,,14,"		} else if (next.len == 2 && !strcmp(next.buf, "".."")) {"
logic_as_control_flow,abspath.c,302,-,+,,7,"		if (pwd && strcmp(pwd, cwd) &&"
logic_as_control_flow,add-interactive.c,30,-,+,,11,"	else if (repo_config_get_value(r, key, &value) ||
		 color_parse(value, dst))"
logic_as_control_flow,add-interactive.c,133,-,+,,6,"	if (!*len || memcmp(p->string, other_string, *len))"
logic_as_control_flow,add-interactive.c,145,+,+,!c || ++*len > max_length,7,		if (!c || ++*len > max_length || !isascii(c)) {
logic_as_control_flow,add-interactive.c,211,-,+,,11,"	else if (index > 0 &&
		 starts_with(list->sorted.items[index - 1].string, string))"
logic_as_control_flow,add-interactive.c,214,-,+,,11,"	else if (index + 1 < list->sorted.nr &&
		 starts_with(list->sorted.items[index + 1].string, string))"
logic_as_control_flow,add-interactive.c,217,-,+,,11,"	else if (index < list->sorted.nr &&
		 starts_with(list->sorted.items[index].string, string))"
logic_as_control_flow,add-interactive.c,408,-,+,,7,"		if ((immediate && res != LIST_AND_CHOOSE_ERROR) ||
		    !strcmp(input.buf, ""*""))"
logic_as_control_flow,add-interactive.c,608,-,+,,9,"	return prefix_len && prefix &&
		/*
		 * We expect `prefix` to be NUL terminated, therefore this
		 * `strcspn()` call is okay, even if it might do much more
		 * work than strictly necessary.
		 */
		strcspn(prefix, "" \t\r\n,"") >= prefix_len &&	/* separators */"
logic_as_control_flow,add-interactive.c,640,-,+,,6,"	if (c->prefix_length > 0 &&
	    is_valid_prefix(item->string, c->prefix_length)) {"
logic_as_control_flow,add-interactive.c,712,-,+,,7,"		if (lstat(name, &st) && is_missing_file_error(errno)) {"
logic_as_control_flow,add-interactive.c,723,-,+,,6,"	if (!res && write_locked_index(s->r->index, &index_lock, COMMIT_LOCK) < 0)"
logic_as_control_flow,add-interactive.c,743,-,+,,9,		if (!(one->mode && !is_null_oid(&one->oid))) {
logic_as_control_flow,add-interactive.c,828,-,+,,6,"	if (!res && write_locked_index(s->r->index, &index_lock,
				       COMMIT_LOCK) < 0)"
logic_as_control_flow,add-interactive.c,907,-,+,,7,"		if (files->selected[i] &&
		    add_file_to_index(s->r->index, name, 0) < 0) {"
logic_as_control_flow,add-interactive.c,914,-,+,,6,"	if (!res &&
	    write_locked_index(s->r->index, &index_lock, COMMIT_LOCK) < 0)"
logic_as_control_flow,add-interactive.c,1090,-,+,,6,"	if (!util->prefix_length ||
	    !is_valid_prefix(item->string, util->prefix_length))"
logic_as_control_flow,add-interactive.c,1173,-,+,,6,"	if (repo_read_index(r) < 0 ||
	    repo_refresh_and_write_index(r, REFRESH_QUIET, 0, 1,
					 NULL, NULL, NULL) < 0)"
logic_as_control_flow,add-patch.c,344,-,+,,6,"	if (!skip_prefix(p, ""@@ -"", &p) ||
	    parse_range(&p, &header->old_offset, &header->old_count) < 0 ||"
logic_as_control_flow,add-patch.c,367,+,+,"p && (p = memmem(p + 4, eol - p - 4, "" @@"", 3))",6,"	if (p && (p = memmem(p + 4, eol - p - 4, "" @@"", 3))) {"
logic_as_control_flow,add-patch.c,386,+,+,*p < '0' || *(p++) > '7',7,		if (*p < '0' || *(p++) > '7')
logic_as_control_flow,add-patch.c,421,-,+,,8,"			    !strcmp(""HEAD"", s->revision) &&
			    repo_get_oid(the_repository, ""HEAD"", &oid) ?"
logic_as_control_flow,add-patch.c,491,-,+,,7,"		if (starts_with(p, ""diff "") ||
		    starts_with(p, ""* Unmerged path "")) {"
logic_as_control_flow,add-patch.c,507,-,+,,12,"		else if (starts_with(p, ""@@ "") ||
			 (hunk == &file_diff->head &&
			  (skip_prefix(p, ""deleted file"", &deleted)))) {"
logic_as_control_flow,add-patch.c,508,-,+,,6,"			 (hunk == &file_diff->head &&
			  (skip_prefix(p, ""deleted file"", &deleted)))) {"
logic_as_control_flow,add-patch.c,535,-,+,,14,"		} else if (hunk == &file_diff->head &&
			   starts_with(p, ""new file"")) {"
logic_as_control_flow,add-patch.c,538,-,+,,14,"		} else if (hunk == &file_diff->head &&
			   skip_prefix(p, ""old mode "", &mode_change) &&"
logic_as_control_flow,add-patch.c,559,-,+,,14,"		} else if (hunk == &file_diff->head &&
			   skip_prefix(p, ""new mode "", &mode_change) &&"
logic_as_control_flow,add-patch.c,577,-,+,,14,"		} else if (hunk == &file_diff->head &&
			   starts_with(p, ""Binary files ""))"
logic_as_control_flow,add-patch.c,828,-,+,,8,"			if (len > merged->end - merged->start ||
			    memcmp(plain + merged->end - len,
				   plain + overlap_start, len))"
logic_as_control_flow,add-patch.c,1158,-,+,,6,"	if (s->plain.buf[hunk->start] == '@' &&
	    parse_hunk_header(s, hunk) < 0)"
logic_as_control_flow,add-patch.c,1688,-,+,,9,"				if (*p != '?' && !strchr(s->buf.buf, *p))"
logic_as_control_flow,add-patch.c,1744,-,+,,7,"		if (!revision || !strcmp(revision, ""HEAD""))"
logic_as_control_flow,add-patch.c,1767,-,+,,6,"	if (repo_read_index(r) < 0 ||
	    (!s.mode->index_only &&
	     repo_refresh_and_write_index(r, REFRESH_QUIET, 0, 1,
					  NULL, NULL, NULL) < 0) ||"
logic_as_control_flow,add-patch.c,1768,-,+,,7,"	    (!s.mode->index_only &&
	     repo_refresh_and_write_index(r, REFRESH_QUIET, 0, 1,
					  NULL, NULL, NULL) < 0) ||"
logic_as_control_flow,add.c,47,-,+,,7,"		if (!include_sparse &&
		    (ce_skip_worktree(ce) ||
		     !path_in_sparse_checkout(ce->name, the_repository->index)))"
logic_as_control_flow,add.c,48,-,+,,8,"		    (ce_skip_worktree(ce) ||
		     !path_in_sparse_checkout(ce->name, the_repository->index)))"
logic_as_control_flow,add.c,52,-,+,,7,"		if (pathspec && !ce_path_match(the_repository->index, ce, pathspec, NULL))"
logic_as_control_flow,add.c,74,-,+,,7,"		if (!include_sparse &&
		    (ce_skip_worktree(ce) ||
		     !path_in_sparse_checkout(ce->name, the_repository->index)))"
logic_as_control_flow,add.c,75,-,+,,8,"		    (ce_skip_worktree(ce) ||
		     !path_in_sparse_checkout(ce->name, the_repository->index)))"
logic_as_control_flow,add.c,82,-,+,,7,"		if (pathspec && !ce_path_match(the_repository->index, ce, pathspec, NULL))"
logic_as_control_flow,add.c,128,-,+,,8,"			if (matches_skip_worktree(pathspec, i, &skip_worktree_seen) ||
			    !path_in_sparse_checkout(path, the_repository->index)) {"
logic_as_control_flow,add.c,273,-,+,,6,"	if (!strcmp(var, ""add.ignoreerrors"") ||
	    !strcmp(var, ""add.ignore-errors"")) {"
logic_as_control_flow,add.c,340,-,+,,7,"		if (!include_sparse &&
		    !path_in_sparse_checkout(dir->entries[i]->name, the_repository->index)) {"
logic_as_control_flow,add.c,515,-,+,,8,"			if (!include_sparse &&
			    matches_skip_worktree(&pathspec, i, &skip_worktree_seen)) {"
logic_as_control_flow,add.c,526,-,+,,8,"			if ((pathspec.items[i].magic & (PATHSPEC_GLOB | PATHSPEC_ICASE)) ||
			    !file_exists(path)) {"
logic_as_control_flow,add.c,560,-,+,,6,"	if (take_worktree_changes && !add_renormalize && !ignore_add_errors &&
	    report_path_error(ps_matched, &pathspec))"
logic_as_control_flow,advice.c,139,-,+,,10,"		return enabled &&
		       advice_enabled(ADVICE_PUSH_UPDATE_REJECTED_ALIAS);"
logic_as_control_flow,am.c,274,-,+,,6,"	if (lstat(state->dir, &st) < 0 || !S_ISDIR(st.st_mode))"
logic_as_control_flow,am.c,276,-,+,,6,"	if (lstat(am_path(state, ""last""), &st) || !S_ISREG(st.st_mode))"
logic_as_control_flow,am.c,278,-,+,,6,"	if (lstat(am_path(state, ""next""), &st) || !S_ISREG(st.st_mode))"
logic_as_control_flow,am.c,634,-,+,,6,"	if (!*paths || !strcmp(*paths, ""-"") || is_directory(*paths))"
logic_as_control_flow,am.c,649,-,+,,6,"	if (starts_with(l1.buf, ""From "") || starts_with(l1.buf, ""From: "")) {"
logic_as_control_flow,am.c,671,-,+,,6,"	if (l1.len && !l2.len &&
		(starts_with(l3.buf, ""From:"") ||
		 starts_with(l3.buf, ""Author:"") ||
		 starts_with(l3.buf, ""Date:""))) {"
logic_as_control_flow,am.c,672,-,+,,4,"		(starts_with(l3.buf, ""From:"") ||
		 starts_with(l3.buf, ""Author:"") ||"
logic_as_control_flow,am.c,679,-,+,,6,	if (l1.len && is_mail(fp)) {
logic_as_control_flow,am.c,804,-,+,,12,"		else if (starts_with(sb.buf, ""From"") || starts_with(sb.buf, ""Date""))"
logic_as_control_flow,am.c,1002,-,+,,6,"	if (mkdir(state->dir, 0777) < 0 && errno != EEXIST)"
logic_as_control_flow,am.c,1166,-,+,,7,"		if (advice_enabled(ADVICE_AM_WORK_DIR) &&
		    is_empty_or_missing_file(am_path(state, ""patch"")) &&"
logic_as_control_flow,am.c,1333,-,+,,6,"	if (strbuf_getline_lf(&sb, fp) ||
	    !skip_prefix(sb.buf, ""From "", &x) ||"
logic_as_control_flow,am.c,1666,-,+,,6,"	if (!state->no_verify && run_hooks(""pre-applypatch""))"
logic_as_control_flow,am.c,1849,-,+,,7,		if (state->interactive && do_interactive(state))
logic_as_control_flow,am.c,1891,-,+,,8,"			if (!apply_status &&
			    !repo_index_has_changes(the_repository, NULL, NULL)) {"
logic_as_control_flow,am.c,1948,-,+,,7,"		if (allow_empty && is_empty_or_missing_file(am_path(state, ""patch""))) {"
logic_as_control_flow,am.c,1992,-,+,,6,	if (parse_tree(head) || parse_tree(remote))
logic_as_control_flow,am.c,2187,-,+,,18,	has_curr_head = curr_branch && !is_null_oid(&curr_head);
logic_as_control_flow,am.c,2416,-,+,,6,"	if (argc == 2 && !strcmp(argv[1], ""-h""))"
logic_as_control_flow,am.c,2451,-,+,,16,		if (argc || (resume_mode == RESUME_FALSE && !isatty(0)))
logic_as_control_flow,am.c,2469,-,+,,7,		if (file_exists(state.dir) && !state.rebasing) {
logic_as_control_flow,am.c,2485,-,+,,8,			if (is_absolute_path(argv[i]) || !prefix)
logic_as_control_flow,apply.c,75,-,+,,6,"	if (!strcmp(option, ""strip"") || !strcmp(option, ""fix"")) {"
logic_as_control_flow,apply.c,90,-,+,,6,"	if (!option || !strcmp(option, ""no"") ||"
logic_as_control_flow,apply.c,125,-,+,,6,"	if (apply_default_whitespace && parse_whitespace_option(state, apply_default_whitespace))"
logic_as_control_flow,apply.c,127,-,+,,6,"	if (apply_default_ignorewhitespace && parse_ignorewhitespace_option(state, apply_default_ignorewhitespace))"
logic_as_control_flow,apply.c,385,-,+,,6,"	if (patch->old_name && patch->new_name &&
	    strcmp(patch->old_name, patch->new_name)) {"
logic_as_control_flow,apply.c,442,-,+,,9,"	return skip_prefix(str, ""/dev/null"", &str) && isspace(*str);"
logic_as_control_flow,apply.c,510,-,+,,6,"	if (len < strlen("" +0500"") || line[len-strlen("" +0500"")] != ' ')"
logic_as_control_flow,apply.c,528,-,+,,6,"	if (len < strlen("" +08:00"") || line[len - strlen("":00"")] != ':')"
logic_as_control_flow,apply.c,535,+,+,!isdigit(*p++) || !isdigit(*p++) || *p++ != ':' || !isdigit(*p++) || !isdigit(*p++),6,	if (!isdigit(*p++) || !isdigit(*p++) || *p++ != ':' ||
logic_as_control_flow,apply.c,546,-,+,,6,"	if (len < strlen(""72-02-05"") || line[len-strlen(""-05"")] != '-')"
logic_as_control_flow,apply.c,550,+,+,!isdigit(*p++) || !isdigit(*p++) || *p++ != '-' || !isdigit(*p++) || !isdigit(*p++) || *p++ != '-' || !isdigit(*p++) || !isdigit(*p++),6,	if (!isdigit(*p++) || !isdigit(*p++) || *p++ != '-' ||
logic_as_control_flow,apply.c,555,-,+,,6,"	if (date - line >= strlen(""19"") &&
	    isdigit(date[-1]) && isdigit(date[-2]))	/* 4-digit year */"
logic_as_control_flow,apply.c,566,-,+,,6,"	if (len < strlen("" 07:01:32"") || line[len-strlen("":32"")] != ':')"
logic_as_control_flow,apply.c,571,+,+,*p++ != ' ' || !isdigit(*p++) || !isdigit(*p++) || *p++ != ':' || !isdigit(*p++) || !isdigit(*p++) || *p++ != ':' || !isdigit(*p++) || !isdigit(*p++),6,"	if (*p++ != ' ' ||
	    !isdigit(*p++) || !isdigit(*p++) || *p++ != ':' ||"
logic_as_control_flow,apply.c,687,+,+,c == '/' && !--p_value,7,		if (c == '/' && !--p_value)
logic_as_control_flow,apply.c,704,-,+,,7,"		if (deflen < len && !strncmp(start, def, deflen))"
logic_as_control_flow,apply.c,956,-,+,,7,"		if (!another || strcmp(another, *name)) {"
logic_as_control_flow,apply.c,1156,+,+,ch == '/' && --nslash <= 0,7,		if (ch == '/' && --nslash <= 0)
logic_as_control_flow,apply.c,1221,-,+,,7,"		if (line + llen - cp != first.len ||
		    memcmp(first.buf, cp, first.len))"
logic_as_control_flow,apply.c,1254,-,+,,8,"			if (len < second - name &&
			    !strncmp(np, name, len) &&"
logic_as_control_flow,apply.c,1309,-,+,,8,"			if (second[len] == '\n' && !strncmp(name, second, len))"
logic_as_control_flow,apply.c,1394,-,+,,8,"			if (len < oplen || memcmp(p->str, line, oplen))"
logic_as_control_flow,apply.c,1509,-,+,,10,"			ret = size < 3 || !starts_with(line, ""@@ "");"
logic_as_control_flow,apply.c,1512,-,+,,10,"			ret = size < 5 || !starts_with(line, ""diff "");"
logic_as_control_flow,apply.c,1613,-,+,,7,"		if (memcmp(""--- "", line,  4) || memcmp(""+++ "", line + len, 4))"
logic_as_control_flow,apply.c,1622,-,+,,7,"		if (size < nextlen + 14 || memcmp(""@@ -"", line + len + nextlen, 4))"
logic_as_control_flow,apply.c,1766,-,+,,8,"			if (len < 12 || memcmp(line, ""\\ "", 2))"
logic_as_control_flow,apply.c,1784,-,+,,6,"	if (12 < size && !memcmp(line, ""\\ "", 2))"
logic_as_control_flow,apply.c,1818,-,+,,9,"	while (size > 4 && !memcmp(line, ""@@ -"", 4)) {"
logic_as_control_flow,apply.c,2116,-,+,,7,"		if (!skip_prefix(pathname, state->prefix, &rest) || !*rest)"
logic_as_control_flow,apply.c,2178,-,+,,7,"		if (llen == sizeof(git_binary) - 1 &&
		    !memcmp(git_binary, buffer + hd, llen)) {"
logic_as_control_flow,apply.c,2200,-,+,,9,"				if (len < size - hd &&
				    !memcmp(binhdr[i], buffer + hd, len)) {"
logic_as_control_flow,apply.c,2214,-,+,,7,"		if ((state->apply || state->check) &&
		    (!patch->is_binary && !metadata_changes(patch))) {"
logic_as_control_flow,apply.c,2215,-,+,,8,		    (!patch->is_binary && !metadata_changes(patch))) {
logic_as_control_flow,apply.c,2544,-,+,,7,"		if ((match_end
		     ? (current + preimage->len == img->len)
		     : (current + preimage->len <= img->len)) &&
		    !memcmp(img->buf + current, preimage->buf, preimage->len))"
logic_as_control_flow,apply.c,2637,-,+,,12,"		match = (tgtfix.len == fixed.len - fixstart &&
			 !memcmp(tgtfix.buf, fixed.buf + fixstart,
					     fixed.len - fixstart));"
logic_as_control_flow,apply.c,2938,-,+,,8,"			if (plen && (ws_rule & WS_BLANK_AT_EOF) &&
			    ws_blank_line(patch + 1, plen))"
logic_as_control_flow,apply.c,2966,-,+,,8,"			if (first == '+' &&
			    (ws_rule & WS_BLANK_AT_EOF) &&
			    ws_blank_line(patch + 1, plen))"
logic_as_control_flow,apply.c,3188,-,+,,6,"	if (strlen(patch->old_oid_prefix) != hexsz ||
	    strlen(patch->new_oid_prefix) != hexsz ||"
logic_as_control_flow,apply.c,3393,-,+,,6,"	if (checkout_entry(ce, &costate, NULL, NULL) ||
	    lstat(ce->name, st))"
logic_as_control_flow,apply.c,3543,-,+,,11,"	else if (oideq(base, theirs) || oideq(ours, theirs))"
logic_as_control_flow,apply.c,3639,-,+,,11,"	else if (repo_get_oid(the_repository, patch->old_oid_prefix, &pre_oid) ||
		 read_blob_object(&buf, &pre_oid, patch->old_mode))"
logic_as_control_flow,apply.c,3709,-,+,,6,"	if (!state->threeway || try_threeway(state, &image, patch, st, ce) < 0) {"
logic_as_control_flow,apply.c,3715,-,+,,7,"		if (patch->direct_to_threeway || apply_fragments(state, &image, patch) < 0) {"
logic_as_control_flow,apply.c,3781,-,+,,7,"		if (!state->cached && verify_index_match(state, *ce, st))"
logic_as_control_flow,apply.c,3891,-,+,,10,		while (--name->len && name->buf[name->len] != '/')
logic_as_control_flow,apply.c,3915,-,+,,8,"			if (!lstat(name->buf, &st) && S_ISLNK(st.st_mode))"
logic_as_control_flow,apply.c,3946,-,+,,6,"	if (old_name && !verify_path(old_name, patch->old_mode))"
logic_as_control_flow,apply.c,3948,-,+,,6,"	if (new_name && !verify_path(new_name, patch->new_mode))"
logic_as_control_flow,apply.c,3989,-,+,,6,"	if ((tpatch = in_fn_table(state, new_name)) &&
	    (was_deleted(tpatch) || to_be_deleted(tpatch)))"
logic_as_control_flow,apply.c,3990,-,+,,7,	    (was_deleted(tpatch) || to_be_deleted(tpatch)))
logic_as_control_flow,apply.c,4041,-,+,,6,	if (!state->unsafe_paths && check_unsafe_path(patch))
logic_as_control_flow,apply.c,4053,-,+,,6,"	if (!patch->is_delete && path_is_beyond_symlink(state, patch->new_name))"
logic_as_control_flow,apply.c,4124,+,+,"hunk && !hunk->next && hunk->oldpos == 1 && hunk->oldlines == 1 && (preimage = memchr(hunk->patch, '\n', hunk->size)) != NULL && starts_with(++preimage, heading)",6,"	    hunk && !hunk->next &&
	    /* is its preimage one line? */
	    hunk->oldpos == 1 && hunk->oldlines == 1 &&
	    /* does preimage begin with the heading? */
	    (preimage = memchr(hunk->patch, '\n', hunk->size)) != NULL &&"
logic_as_control_flow,apply.c,4260,-,+,,7,"		if (!slash_old ||
		    !slash_new ||
		    slash_old - old_name != slash_new - new_name ||
		    memcmp(old_name, new_name, slash_new - new_name))"
logic_as_control_flow,apply.c,4335,-,+,,7,"		if (!remove_or_warn(patch->old_mode, patch->old_name) && rmdir_empty) {"
logic_as_control_flow,apply.c,4363,-,+,,7,"		if (!skip_prefix(buf, ""Subproject commit "", &s) ||
		    get_oid_hex(s, &ce->oid)) {"
logic_as_control_flow,apply.c,4407,-,+,,7,"		if (!lstat(path, &st) && S_ISDIR(st.st_mode))"
logic_as_control_flow,apply.c,4432,-,+,,6,	if (close(fd) < 0 && !res)
logic_as_control_flow,apply.c,4507,-,+,,7,"		if (!lstat(path, &st) && (!S_ISDIR(st.st_mode) || !rmdir(path)))"
logic_as_control_flow,apply.c,4812,-,+,,9,"			if ((patch->new_name &&
			     ends_with_path_components(patch->new_name,
						       GITATTRIBUTES_FILE)) ||"
logic_as_control_flow,apply.c,4815,-,+,,9,"			    (patch->old_name &&
			     ends_with_path_components(patch->old_name,
						       GITATTRIBUTES_FILE)))"
logic_as_control_flow,apply.c,4841,-,+,,6,	if (state->update_index && !is_lock_file_locked(&state->lock_file)) {
logic_as_control_flow,apply.c,4851,-,+,,6,	if (state->check_index && read_apply_cache(state) < 0) {
logic_as_control_flow,apply.c,4882,-,+,,6,"	if (state->fake_ancestor &&
	    build_fake_ancestor(state, list)) {"
logic_as_control_flow,archive-tar.c,382,-,+,,6,"	if (parse_config_key(var, ""tar"", &name, &namelen, &type) < 0 || !name)"
logic_as_control_flow,archive-tar.c,418,-,+,,7,"		if (value && !strcmp(value, ""user"")) {"
logic_as_control_flow,archive.c,192,-,+,,7,"		if (!strcmp(rel, ""./"") || starts_with(rel, ""../""))"
logic_as_control_flow,archive.c,213,-,+,,6,"	if (S_ISREG(mode) && !args->convert &&
	    oid_object_info(args->repo, oid, &size) == OBJ_BLOB &&"
logic_as_control_flow,archive.c,251,-,+,,3,"		write_directory(c) ||
		write_archive_entry(&d->oid, d->path, d->baselen,
				    d->path + d->baselen, d->mode,
				    c) != READ_TREE_RECURSIVE;"
logic_as_control_flow,archive.c,265,-,+,,9,"	while (c->bottom &&
	       !(base->len >= c->bottom->len &&
		 !strncmp(base->buf, c->bottom->path, c->bottom->len))) {"
logic_as_control_flow,archive.c,266,-,+,,11,"	       !(base->len >= c->bottom->len &&
		 !strncmp(base->buf, c->bottom->path, c->bottom->len))) {"
logic_as_control_flow,archive.c,469,-,+,,6,"	if (args->prefix && read_tree(args->repo, args->tree, &ctx.pathspec,
				      reject_outside, args))"
logic_as_control_flow,archive.c,493,-,+,,8,"			if (**pathspec && !path_exists(ar_args, *pathspec))"
logic_as_control_flow,attr.c,81,-,+,,9,"	return (a->keylen != b->keylen) || strncmp(a->key, b->key, a->keylen);"
logic_as_control_flow,attr.c,328,-,+,,7,"		if (!attr_name_valid(cp, len) || attr_name_reserved(cp)) {"
logic_as_control_flow,attr.c,373,-,+,,6,"	if (*cp == '""' && !unquote_c_style(&pattern, name, &states)) {"
logic_as_control_flow,attr.c,381,-,+,,6,"	if (strlen(ATTRIBUTE_MACRO_PREFIX) < namelen &&
	    starts_with(name, ATTRIBUTE_MACRO_PREFIX)) {"
logic_as_control_flow,attr.c,392,-,+,,7,"		if (!attr_name_valid(name, namelen) || attr_name_reserved(name)) {"
logic_as_control_flow,attr.c,717,-,+,,6,	if (is_bare_repository() && new_direction != GIT_ATTR_INDEX)
logic_as_control_flow,attr.c,758,-,+,,7,"		if (!lineno && starts_with(buf.buf, utf8_bom))"
logic_as_control_flow,attr.c,861,-,+,,6,"	if (sparse_dir_pos >= 0 &&
	    S_ISSPARSEDIR(istate->cache[sparse_dir_pos]->ce_mode) &&
	    !strncmp(istate->cache[sparse_dir_pos]->name, path, ce_namelen(istate->cache[sparse_dir_pos]))) {"
logic_as_control_flow,attr.c,1023,-,+,,7,"		if (namelen <= dirlen &&
		    !strncmp(elem->origin, path, namelen) &&"
logic_as_control_flow,attr.c,1225,-,+,,6,	if (!default_attr_source_tree_object_name || !is_null_oid(attr_source))
logic_as_control_flow,attr.c,1228,-,+,,6,"	if (repo_get_oid_treeish(the_repository,
				 default_attr_source_tree_object_name,
				 attr_source) && !ignore_bad_attr_tree)"
logic_as_control_flow,base85.c,62,+,+,0xffffffff / 85 < acc || 0xffffffff - de < (acc *= 85),7,"		if (0xffffffff / 85 < acc ||
		    0xffffffff - de < (acc *= 85))"
logic_as_control_flow,bisect.c,105,-,+,,9,"	while (!res && (match = va_arg(matches, const char *)))"
logic_as_control_flow,bisect.c,130,-,+,,6,"	if (strcmp(mode, ""w"") && strcmp(mode, ""a""))"
logic_as_control_flow,bisect.c,207,-,+,,7,"	if ((strcmp(orig_term, ""bad"") && one_of(term, ""bad"", ""new"", NULL)) ||"
logic_as_control_flow,bisect.c,208,-,+,,5,"		 (strcmp(orig_term, ""good"") && one_of(term, ""good"", ""old"", NULL)))"
logic_as_control_flow,bisect.c,221,-,+,,6,"	if (check_term_format(bad, ""bad"") || check_term_format(good, ""good""))"
logic_as_control_flow,bisect.c,246,-,+,,6,"	if (branch.len && !refs_ref_exists(get_main_ref_store(the_repository), ""BISECT_HEAD"")) {"
logic_as_control_flow,bisect.c,337,-,+,,6,"	if (has_term_file && strcmp(cmd, terms->term_bad) &&"
logic_as_control_flow,bisect.c,341,-,+,,7,"		if (!(bisect_flags & FIND_BISECTION_ALL) &&
		      approx_halfway(p, nr))"
