Type,File,Line,CLJ,CQL,CNL,CLJ_Code,CQL_Column,CQL_Code,CNL_Column,CNL_Code
postIncr,abspath.c,142,+,+,+,num_symlinks++ > MAXSYMLINKS,8.0,			if (num_symlinks++ > MAXSYMLINKS) {,7.0,num_symlinks ++
postIncr,add-interactive.c,182,+,+,+,item->string[(*len)++],26.0,			char c = item->string[(*len)++];,25.0,( * len ) ++
postIncr,add-interactive.c,379,+,+,+,p[sep++],7.0,				p[sep++] = '\0';,6.0,sep ++
postIncr,add-interactive.c,807,+,+,+,paths[j++],10.0,			paths[j++] = files->items.items[i].string;,9.0,j ++
postIncr,add-interactive.c,954,+,+,+,files->items.items[j++],24.0,				files->items.items[j++] = files->items.items[i];,23.0,j ++
postIncr,add-patch.c,385,+,+,+,"while (len--)
    if (*p < '0' || *(p++) > '7')
        return 0;
",9.0,	while (len--),8.0,len --
postIncr,add-patch.c,386,+,+,+,*(p++),21.0,		if (*p < '0' || *(p++) > '7'),20.0,p ++
postIncr,add-patch.c,1368,+,+,+,file_diff->hunk + start_index++,41.0,		struct hunk *hunk = file_diff->hunk + start_index++;,40.0,start_index ++
postIncr,add-patch.c,1369,+,-,-,file_diff->hunk + start_index++,,,,
postIncr,add.c,102,+,+,+,*src++,30.0,		struct dir_entry *entry = *src++;,29.0,src ++
postIncr,add.c,104,+,+,+,*dst++,5.0,			*dst++ = entry;,4.0,dst ++
postIncr,alias.c,84,+,+,+,(*argv)[count++],10.0,	(*argv)[count++] = cmdline;,9.0,count ++
postIncr,alias.c,88,+,+,+,cmdline[dst++],12.0,			cmdline[dst++] = 0;,11.0,dst ++
postIncr,alias.c,93,+,+,+,(*argv)[count++],12.0,			(*argv)[count++] = cmdline + dst;,11.0,count ++
postIncr,alias.c,109,+,+,+,cmdline[dst++],12.0,			cmdline[dst++] = c;,11.0,dst ++
postIncr,alloc.c,63,+,+,+,s->slabs[s->slab_nr++],12.0,		s->slabs[s->slab_nr++] = s->p;,11.0,s -> slab_nr ++
postIncr,alloc.c,109,+,+,+,"return parsed_commits_count++;
",9.0,	return parsed_commits_count++;,8.0,parsed_commits_count ++
postIncr,am.c,749,-,-,+,,,,30.0,i ++
postIncr,apply.c,325,+,+,+,*s1++,15.0,		} else if (*s1++ != *s2++),14.0,s1 ++
postIncr,apply.c,432,+,+,+,"while (size--){
    len++;
    if (*buffer++ == '\n')
        break;
}
",9.0,	while (size--) {,8.0,size --
postIncr,apply.c,434,+,+,+,*buffer++,8.0,		if (*buffer++ == '\n'),7.0,buffer ++
postIncr,apply.c,467,+,+,+,name[j++],13.0,		if ((name[j++] = name[i++]) == '/'),24.0,i ++
postIncr,apply.c,535,+,+,+,*p++,43.0,	if (!isdigit(*p++) || !isdigit(*p++) || *p++ != ':' ||,15.0,p ++
postIncr,apply.c,536,+,-,+,*p++,,,15.0,p ++
postIncr,apply.c,550,+,+,+,*p++,43.0,	if (!isdigit(*p++) || !isdigit(*p++) || *p++ != '-' ||,15.0,p ++
postIncr,apply.c,551,+,+,+,*p++,43.0,	    !isdigit(*p++) || !isdigit(*p++) || *p++ != '-' ||,15.0,p ++
postIncr,apply.c,552,+,-,+,*p++,,,15.0,p ++
postIncr,apply.c,571,+,+,+,*p++,7.0,	if (*p++ != ' ' ||,6.0,p ++
postIncr,apply.c,572,+,+,+,*p++,43.0,	    !isdigit(*p++) || !isdigit(*p++) || *p++ != ':' ||,15.0,p ++
postIncr,apply.c,573,+,+,+,*p++,43.0,	    !isdigit(*p++) || !isdigit(*p++) || *p++ != ':' ||,15.0,p ++
postIncr,apply.c,574,+,-,+,*p++,,,15.0,p ++
postIncr,apply.c,1362,-,-,+,,,,73.0,( * linenr ) ++
postIncr,apply.c,1568,-,-,+,,,,69.0,state -> linenr ++
postIncr,apply.c,1715,-,-,+,,,,47.0,state -> linenr ++
postIncr,apply.c,2931,+,+,+,*old++,5.0,			*old++ = '\n';,4.0,old ++
postIncr,apply.c,3078,+,+,+,"while (new_blank_lines_at_end--)
    remove_last_line(&postimage);
",12.0,				while (new_blank_lines_at_end--),11.0,new_blank_lines_at_end --
postIncr,apply.c,4684,-,-,+,,,,6.0,cnt ++
postIncr,archive-tar.c,197,+,+,+,*p++,14.0,		chksum += *p++;,13.0,p ++
postIncr,archive-tar.c,201,+,+,+,*p++,14.0,		chksum += *p++;,13.0,p ++
postIncr,archive-tar.c,393,-,+,+,,15.0,		tar_filters[nr_tar_filters++] = ar;,14.0,nr_tar_filters ++
postIncr,archive-zip.c,188,+,+,+,size-- > 0,9.0,	while (size-- > 0) {,8.0,size --
postIncr,archive-zip.c,270,+,+,+,*s++,12.0,		int c = *s++;,11.0,s ++
postIncr,archive.c,39,+,+,+,archivers[nr_archivers++],12.0,	archivers[nr_archivers++] = ar;,11.0,nr_archivers ++
postIncr,attr.c,204,+,+,+,"while (namelen--){
    char ch = *name++;
    if (!(ch == '-' || ch == '.' || ch == '_' || ('0' <= ch && ch <= '9') || ('a' <= ch && ch <= 'z') || ('A' <= ch && ch <= 'Z')))
        return 0;
}
",9.0,	while (namelen--) {,8.0,namelen --
postIncr,attr.c,205,+,+,+,*name++,14.0,		char ch = *name++;,13.0,name ++
postIncr,attr.c,530,+,+,+,check_vector.checks[check_vector.nr++],22.0,	check_vector.checks[check_vector.nr++] = c;,21.0,check_vector . nr ++
postIncr,attr.c,638,+,+,+,check->items[check->nr++],23.0,	item = &check->items[check->nr++];,22.0,check -> nr ++
postIncr,attr.c,698,+,+,+,*(list++),19.0,	while ((line = *(list++)) != NULL),18.0,list ++
postIncr,base85.c,51,+,+,+,*buffer++,10.0,			ch = *buffer++;,9.0,buffer ++
postIncr,base85.c,57,+,+,+,*buffer++,9.0,		ch = *buffer++;,8.0,buffer ++
postIncr,base85.c,72,+,+,+,*dst++,5.0,			*dst++ = acc;,4.0,dst ++
postIncr,base85.c,87,+,+,+,*data++,19.0,			unsigned ch = *data++;,18.0,data ++
postIncr,basename.c,51,+,-,+,*(p++),,,15.0,p ++
postIncr,basics.c,95,+,+,+,names[names_len++],10.0,			names[names_len++] = xstrdup(p);,9.0,names_len ++
postIncr,bisect.c,291,+,+,+,weights[n++],57.0,"		*commit_weight_at(&commit_weight, p->item) = &weights[n++];",56.0,n ++
postIncr,bisect.c,623,-,-,+,,,,35.0,i ++
