Type,File,Line,CLJ,CQL,CNL,CLJ_Code,CQL_Column,CQL_Code,CNL_Column,CNL_Code
preIncr,add-interactive.c,145,+,+,+,++*len > max_length,13.0,		if (!c || ++*len > max_length || !isascii(c)) {,14.0,* len
preIncr,add-interactive.c,368,+,-,+,*(++endp),,,21.0,endp
preIncr,add.c,101,+,+,+,--i >= 0,9.0,	while (--i >= 0) {,10.0,i
preIncr,alias.c,89,+,+,+,cmdline[++src],19.0,			while (cmdline[++src],20.0,src
preIncr,apply.c,687,+,+,+,!--p_value,20.0,		if (c == '/' && !--p_value),21.0,p_value
preIncr,apply.c,1156,+,+,+,--nslash <= 0,20.0,		if (ch == '/' && --nslash <= 0),21.0,nslash
preIncr,apply.c,2790,+,+,+,img->line[--img->nr],24.0,	img->len -= img->line[--img->nr].len;,25.0,img -> nr
preIncr,apply.c,3891,+,+,+,--name->len && name->buf[name->len] != '/',10.0,		while (--name->len && name->buf[name->len] != '/'),11.0,name -> len
preIncr,apply.c,4129,+,+,+,"starts_with(++preimage, heading)",18.0,"	    starts_with(++preimage, heading) &&",19.0,preimage
preIncr,attr.c,699,+,+,+,"handle_attr_line(res, line, ""[builtin]"", ++lineno, READ_ATTR_MACRO_OK)",44.0,"		handle_attr_line(res, line, ""[builtin]"", ++lineno,",45.0,lineno
preIncr,attr.c,760,+,+,+,"handle_attr_line(res, buf.buf, path, ++lineno, flags)",40.0,"		handle_attr_line(res, buf.buf, path, ++lineno, flags);",41.0,lineno
preIncr,attr.c,791,+,+,+,"handle_attr_line(res, sp, path, ++lineno, flags)",35.0,"		handle_attr_line(res, sp, path, ++lineno, flags);",36.0,lineno
preIncr,base85.c,50,+,-,-,"do{
    ch = *buffer++;
    de = de85[ch];
    if (--de < 0)
        return error(""invalid base85 alphabet %c"", ch);

    acc = acc * 85 + de;
} while (--cnt);
",,,,
preIncr,base85.c,53,+,+,+,--de < 0,8.0,			if (--de < 0),9.0,de
preIncr,base85.c,56,-,+,+,,12.0,		} while (--cnt);,13.0,cnt
preIncr,base85.c,59,+,+,+,--de < 0,7.0,		if (--de < 0),8.0,de
preIncr,base85.c,70,+,-,-,"do{
    acc = (acc << 8) | (acc >> 24);
    *dst++ = acc;
} while (--cnt);
",,,,
preIncr,base85.c,73,-,+,+,,12.0,		} while (--cnt);,13.0,cnt
preIncr,base85.c,89,+,+,+,--bytes == 0,8.0,			if (--bytes == 0),9.0,bytes
preIncr,basename.c,24,+,-,+,--path != base,,,12.0,path
preIncr,basename.c,49,+,-,+,slash = ++p,,,12.0,p
preIncr,blame.c,43,+,+,+,--o->refcnt <= 0,11.0,	if (o && --o->refcnt <= 0) {,12.0,o -> refcnt
preIncr,blame.c,418,-,-,+,,,,39.0,p
preIncr,blame.c,1070,+,+,+,argv[--argc],35.0,"			path = add_prefix(prefix, argv[--argc]);",36.0,argc
preIncr,branch.c,39,+,+,+,"switch (++tracking->matches){
    case 1:
        string_list_append_nodup(tracking->srcs, tracking->spec.src);
        tracking->remote = remote->name;
        break;
    case 2:
        string_list_append(&ftb->ambiguous_remotes, tracking->remote);
    default:
        string_list_append(&ftb->ambiguous_remotes, remote->name);
        free(tracking->spec.src);
        string_list_clear(tracking->srcs, 0);
        break;
}
",11.0,		switch (++tracking->matches) {,12.0,tracking -> matches
preIncr,cache-tree.c,173,+,+,+,10 < ++funny,13.0,			if (10 < ++funny) {,14.0,funny
preIncr,cache-tree.c,202,+,+,+,10 < ++funny,13.0,			if (10 < ++funny) {,14.0,funny
preIncr,checkout.c,192,+,+,+,++pos < the_repository->index->cache_nr,9.0,	while (++pos < the_repository->index->cache_nr &&,10.0,pos
preIncr,combine-diff.c,658,+,+,+,j <= --la,23.0,				while (la && j <= --la) {,24.0,la
preIncr,commit-graph.c,1168,+,+,+,"display_progress(ctx->progress, ++ctx->progress_cnt)",36.0,"			display_progress(ctx->progress, ++ctx->progress_cnt);",37.0,ctx -> progress_cnt
preIncr,commit-graph.c,1186,+,+,+,"display_progress(ctx->progress, ++ctx->progress_cnt)",35.0,"		display_progress(ctx->progress, ++ctx->progress_cnt);",36.0,ctx -> progress_cnt
preIncr,commit-graph.c,1212,+,+,+,"display_progress(ctx->progress, ++ctx->progress_cnt)",35.0,"		display_progress(ctx->progress, ++ctx->progress_cnt);",36.0,ctx -> progress_cnt
preIncr,commit-graph.c,1313,+,+,+,"display_progress(ctx->progress, ++ctx->progress_cnt)",35.0,"		display_progress(ctx->progress, ++ctx->progress_cnt);",36.0,ctx -> progress_cnt
preIncr,commit-graph.c,1334,+,+,+,"display_progress(ctx->progress, ++ctx->progress_cnt)",35.0,"		display_progress(ctx->progress, ++ctx->progress_cnt);",36.0,ctx -> progress_cnt
preIncr,commit-graph.c,1356,+,+,+,"display_progress(ctx->progress, ++ctx->progress_cnt)",35.0,"		display_progress(ctx->progress, ++ctx->progress_cnt);",36.0,ctx -> progress_cnt
preIncr,commit-graph.c,1412,+,+,+,"display_progress(ctx->progress, ++ctx->progress_cnt)",35.0,"		display_progress(ctx->progress, ++ctx->progress_cnt);",36.0,ctx -> progress_cnt
preIncr,commit-graph.c,1453,+,+,+,"display_progress(ctx->progress, ++ctx->progress_cnt)",35.0,"		display_progress(ctx->progress, ++ctx->progress_cnt);",36.0,ctx -> progress_cnt
preIncr,commit-graph.c,1473,+,+,+,"display_progress(ctx->progress, ++ctx->progress_done)",35.0,"		display_progress(ctx->progress, ++ctx->progress_done);",36.0,ctx -> progress_done
preIncr,commit-graph.c,2543,+,+,-,ctx->commit_graph_filenames_before[--i],40.0,				ctx->commit_graph_filenames_before[--i] = xstrdup(g->filename);,,
preIncr,commit-graph.c,2720,+,+,+,"display_progress(progress, ++(*seen))",30.0,"		display_progress(progress, ++(*seen));",31.0,( * seen )
preIncr,commit-reach.c,342,+,+,+,--count_still_independent <= 1,9.0,				if (--count_still_independent <= 1),10.0,count_still_independent
preIncr,commit.c,994,+,+,+,--(*pi) == 1,8.0,			if (--(*pi) == 1),9.0,( * pi )
preIncr,commit.c,1113,+,+,+,av[++ac],5.0,"	av[++ac] = ""--all"";",6.0,ac
preIncr,commit.c,1114,+,+,+,av[++ac],5.0,"	av[++ac] = ""-i"";",6.0,ac
preIncr,commit.c,1115,+,+,+,av[++ac],5.0,	av[++ac] = buf.buf;,6.0,ac
preIncr,commit.c,1116,+,+,+,av[++ac],5.0,	av[++ac] = NULL;,6.0,ac
preIncr,commit.c,1588,+,-,-,"do{
    codepoint <<= 6;
    codepoint |= *buf & 0x3f;
    if ((*buf++ & 0xc0) != 0x80)
        return bad_offset;
} while (--bytes);
",,,,
preIncr,commit.c,1593,-,+,+,,12.0,		} while (--bytes);,13.0,bytes
preIncr,config.c,184,+,+,+,++inc->depth > MAX_INCLUDE_DEPTH,7.0,		if (++inc->depth > MAX_INCLUDE_DEPTH),8.0,inc -> depth
preIncr,config.c,797,+,+,+,++cs->total_len > INT_MAX,18.0,	if (c != EOF && ++cs->total_len > INT_MAX) {,19.0,cs -> total_len
preIncr,config.c,3126,+,-,-,++seen < store->seen_nr,,,,
preIncr,config.c,3137,+,+,+,++seen < store->seen_nr,8.0,			if (++seen < store->seen_nr &&,9.0,seen
preIncr,convert.c,568,+,-,-,"do{
    unsigned char c = *src++;
    if (c != '\r')
        *dst++ = c;
} while (--len);
",,,,
preIncr,convert.c,572,-,+,+,,12.0,		} while (--len);,13.0,len
preIncr,convert.c,574,+,-,-,"do{
    unsigned char c = *src++;
    if (!(c == '\r' && (1 < len && *src == '\n')))
        *dst++ = c;
} while (--len);
",,,,
preIncr,convert.c,578,-,+,+,,12.0,		} while (--len);,13.0,len
preIncr,date.c,1222,+,-,+,*++end,,,19.0,end
preIncr,decorate.c,26,+,+,+,++j >= size,7.0,		if (++j >= size),8.0,j
preIncr,decorate.c,80,+,+,+,++j == n->size,7.0,		if (++j == n->size),8.0,j
preIncr,diff-delta.c,422,+,+,+,"if (--inscnt)
    continue;
",10.0,					if (--inscnt),11.0,inscnt
preIncr,diff-tree.c,148,+,+,+,--argc > 0,9.0,	while (--argc > 0) {,10.0,argc
preIncr,diff-tree.c,149,+,+,+,*++argv,22.0,		const char *arg = *++argv;,23.0,argv
preIncr,diff.c,163,+,-,+,*++end,,,33.0,end
preIncr,diff.c,167,+,-,+,*++end,,,22.0,end
preIncr,diff.c,887,+,+,+,s[++off],13.0,			while (s[++off] == '\t'),14.0,off
preIncr,diff.c,3972,+,+,+,!--spec->count,7.0,	if (!--spec->count) {,8.0,spec -> count
preIncr,diff.c,4400,+,-,-,"strvec_pushf(&cmd.env, ""GIT_DIFF_PATH_COUNTER=%d"", ++o->diff_path_counter)",,,,
preIncr,diff.c,4401,-,+,+,,8.0,		     ++o->diff_path_counter);,9.0,o -> diff_path_counter
preIncr,diff.c,6199,+,+,+,--p->one->rename_used > 0,13.0,			else if (--p->one->rename_used > 0),14.0,p -> one -> rename_used
preIncr,diffcore-delta.c,154,+,+,+,++n < 64,7.0,		if (++n < 64 && c != '\n'),8.0,n
preIncr,diffcore-rename.c,76,+,+,+,src->path[--src_len],23.0,		char c1 = src->path[--src_len];,24.0,src_len
preIncr,diffcore-rename.c,77,+,+,+,dst->path[--dst_len],23.0,		char c2 = dst->path[--dst_len];,24.0,dst_len
preIncr,diffcore-rename.c,313,+,+,+,!--i,8.0,		if (!--i),9.0,i
preIncr,diffcore-rename.c,1341,+,+,+,!--spec->count,7.0,	if (!--spec->count),8.0,spec -> count
preIncr,difftool.c,74,+,+,+,"parse_oid_hex(++p, oid1, (const char**)&p)",20.0,"	if (parse_oid_hex(++p, oid1, (const char **)&p))",21.0,p
