Type,File,Line,CLJ,CQL,CLJ_Code,CQL_Column,CQL_Code
repurposed_variable,CFString.h,894,+,-,character -= 0x10000,,
repurposed_variable,add-patch.c,385,+,+,len--,9,	while (len--)
repurposed_variable,add-patch.c,386,-,+,,21,		if (*p < '0' || *(p++) > '7')
repurposed_variable,add-patch.c,1368,+,+,start_index++,41,		struct hunk *hunk = file_diff->hunk + start_index++;
repurposed_variable,add-patch.c,1369,+,-,start_index++,,
repurposed_variable,add.c,190,+,+,"argc = setup_revisions(argc, argv, &rev, NULL)",2,"	argc = setup_revisions(argc, argv, &rev, NULL);"
repurposed_variable,add.c,379,+,+,"argc = parse_options(argc, argv, prefix, builtin_add_options, builtin_add_usage, PARSE_OPT_KEEP_ARGV0)",2,"	argc = parse_options(argc, argv, prefix, builtin_add_options,
			  builtin_add_usage, PARSE_OPT_KEEP_ARGV0);"
repurposed_variable,add.c,396,+,-,argc--,,
repurposed_variable,add.c,397,-,+,,2,	argv++;
repurposed_variable,am.c,57,-,+,,15,	for (; *str; str++)
repurposed_variable,am.c,747,-,+,,3,		paths = stdin_only;
repurposed_variable,am.c,749,-,+,,22,"	for (i = 0; *paths; paths++, i++) {"
repurposed_variable,am.c,963,+,+,keep_cr = 0,3,		keep_cr = 0;
repurposed_variable,am.c,995,+,+,patch_format = detect_patch_format(paths),3,		patch_format = detect_patch_format(paths);
repurposed_variable,am.c,1916,+,+,resume = 0,3,		resume = 0;
repurposed_variable,am.c,2427,+,+,"argc = parse_options(argc, argv, prefix, options, usage, 0)",2,"	argc = parse_options(argc, argv, prefix, options, usage, 0);"
repurposed_variable,apply.c,21,+,+,"argc = apply_parse_options(argc, argv, &state, &force_apply, &options, apply_usage)",2,"	argc = apply_parse_options(argc, argv,
				   &state, &force_apply, &options,
				   apply_usage);"
repurposed_variable,apply.c,232,-,+,,3,		list = next;
repurposed_variable,apply.c,256,-,+,,3,		list = next;
repurposed_variable,apply.c,322,-,+,,5,				s1++;
repurposed_variable,apply.c,324,-,+,,5,				s2++;
repurposed_variable,apply.c,325,-,+,,15,		} else if (*s1++ != *s2++)
repurposed_variable,apply.c,432,+,+,size--,9,	while (size--) {
repurposed_variable,apply.c,434,-,+,,8,		if (*buffer++ == '\n')
repurposed_variable,apply.c,491,+,+,p_value--,31,	for (cp = name.buf; p_value; p_value--) {
repurposed_variable,apply.c,686,-,+,,3,		line++;
repurposed_variable,apply.c,687,+,+,--p_value,20,		if (c == '/' && !--p_value)
repurposed_variable,apply.c,874,-,+,,2,"	first += 4;	/* skip ""--- "" */"
repurposed_variable,apply.c,875,-,+,,2,"	second += 4;	/* skip ""+++ "" */"
repurposed_variable,apply.c,1111,-,+,,2,	line = ptr + 2;
repurposed_variable,apply.c,1178,-,+,,2,"	line += strlen(""diff --git "");"
repurposed_variable,apply.c,1179,+,+,"llen -= strlen(""diff --git "")",2,"	llen -= strlen(""diff --git "");"
repurposed_variable,apply.c,1355,-,+,,2,	line += len;
repurposed_variable,apply.c,1356,+,+,size -= len,2,	size -= len;
repurposed_variable,apply.c,1362,+,+,size -= len,48,"	for (offset = len ; size > 0 ; offset += len, size -= len, line += len, (*linenr)++) {"
repurposed_variable,apply.c,1387,+,+,"len = linelen(line, size)",3,"		len = linelen(line, size);"
repurposed_variable,apply.c,1448,-,+,,2,	line += offset;
repurposed_variable,apply.c,1449,+,+,len -= offset,2,	len -= offset;
repurposed_variable,apply.c,1455,+,+,offset += digits,2,	offset += digits;
repurposed_variable,apply.c,1456,-,+,,2,	line += digits;
repurposed_variable,apply.c,1457,+,+,len -= digits,2,	len -= digits;
repurposed_variable,apply.c,1465,+,+,offset += digits + 1,3,		offset += digits+1;
repurposed_variable,apply.c,1466,-,+,,3,		line += digits+1;
repurposed_variable,apply.c,1467,+,+,len -= digits + 1,3,		len -= digits+1;
repurposed_variable,apply.c,1490,+,+,size -= len,3,		size -= len;
repurposed_variable,apply.c,1491,-,+,,3,		line += len;
repurposed_variable,apply.c,1568,+,+,size -= len,44,"	for (offset = 0; size > 0; offset += len, size -= len, line += len, state->linenr++) {"
repurposed_variable,apply.c,1709,-,+,,2,	line += len;
repurposed_variable,apply.c,1710,+,+,size -= len,2,	size -= len;
repurposed_variable,apply.c,1715,+,+,size -= len,22,"	     offset += len, size -= len, line += len, state->linenr++) {"
repurposed_variable,apply.c,1839,-,+,,3,		line += len;
repurposed_variable,apply.c,1840,+,+,size -= len,3,		size -= len;
repurposed_variable,apply.c,2226,-,+,,12,	for (; p; p = p->next) {
repurposed_variable,apply.c,2712,+,+,match_beginning = 0,3,		match_beginning = 0;
repurposed_variable,apply.c,2720,+,+,line = 0,3,		line = 0;
repurposed_variable,apply.c,2722,+,+,line = img->nr - preimage->nr,3,		line = img->nr - preimage->nr;
repurposed_variable,apply.c,2730,+,+,line = img->nr,3,		line = img->nr;
repurposed_variable,apply.c,3382,-,+,,3,		patch = patch->next;
repurposed_variable,apply.c,3876,-,+,,17,	for ( ; patch; patch = patch->next) {
repurposed_variable,apply.c,4078,-,+,,3,		patch = patch->next;
repurposed_variable,apply.c,4204,-,+,,41,	for (files = adds = dels = 0 ; patch ; patch = patch->next) {
repurposed_variable,apply.c,4217,-,+,,17,	for ( ; patch; patch = patch->next) {
repurposed_variable,apply.c,4423,+,+,size = nbuf.len,3,		size = nbuf.len;
repurposed_variable,apply.c,4424,-,+,,3,		buf  = nbuf.buf;
repurposed_variable,archive-tar.c,75,+,+,size -= chunk,3,		size -= chunk;
repurposed_variable,archive-tar.c,82,+,+,size -= BLOCKSIZE,3,		size -= BLOCKSIZE;
repurposed_variable,archive-tar.c,269,+,+,mode = (mode | 0777) & ~tar_umask,3,		mode = (mode | 0777) & ~tar_umask;
repurposed_variable,archive-tar.c,272,+,+,mode |= 0777,3,		mode |= 0777;
repurposed_variable,archive-tar.c,275,+,+,mode = (mode | ((mode & 0100) ? 0777 : 0666)) & ~tar_umask,3,		mode = (mode | ((mode & 0100) ? 0777 : 0666)) & ~tar_umask;
repurposed_variable,archive-zip.c,188,+,+,size--,9,	while (size-- > 0) {
repurposed_variable,archive-zip.c,190,+,+,n >>= 8,3,		n >>= 8;
repurposed_variable,archive-zip.c,270,-,+,,12,		int c = *s++;
repurposed_variable,archive.c,73,+,+,len -= c + 1 - src,3,		len -= c + 1 - src;
repurposed_variable,archive.c,74,-,+,,3,		src  = c + 1;
repurposed_variable,archive.c,96,+,+,"argc = parse_options(argc, argv, prefix, local_opts, NULL, PARSE_OPT_KEEP_ALL)",2,	path += args->baselen;
repurposed_variable,archive.c,495,-,+,,4,			pathspec++;
repurposed_variable,archive.c,674,+,+,"argc = parse_options(argc, argv, NULL, opts, archive_usage, 0)",2,"	argc = parse_options(argc, argv, NULL, opts, archive_usage, 0);"
repurposed_variable,archive.c,750,+,+,"argc = parse_archive_args(argc, argv, &ar, &args, name_hint, remote)",2,"	argc = parse_archive_args(argc, argv, &ar, &args, name_hint, remote);"
repurposed_variable,attr.c,204,+,+,namelen--,9,	while (namelen--) {
repurposed_variable,attr.c,205,-,+,,14,		char ch = *name++;
repurposed_variable,attr.c,325,-,+,,4,			cp++;
repurposed_variable,attr.c,341,-,+,,4,			cp++;
repurposed_variable,attr.c,698,-,+,,19,	while ((line = *(list++)) != NULL)
repurposed_variable,attr.c,1113,+,+,rem--,4,			rem--;
repurposed_variable,attr.c,1114,+,+,"rem = macroexpand_one(all_attrs, attr->attr_nr, rem)",4,"			rem = macroexpand_one(all_attrs, attr->attr_nr, rem);"
repurposed_variable,attr.c,1124,-,+,,27,	for (; rem > 0 && stack; stack = stack->prev) {
repurposed_variable,attr.c,1134,+,+,"rem = fill_one(all_attrs, a, rem)",5,"				rem = fill_one(all_attrs, a, rem);"
repurposed_variable,attr.c,1159,-,+,,16,	for (; stack; stack = stack->prev) {
repurposed_variable,base85.c,51,-,+,,10,			ch = *buffer++;
repurposed_variable,base85.c,57,-,+,,9,		ch = *buffer++;
repurposed_variable,base85.c,69,+,+,len -= cnt,3,		len -= cnt;
repurposed_variable,base85.c,72,-,+,,5,			*dst++ = acc;
repurposed_variable,base85.c,87,-,+,,19,			unsigned ch = *data++;
repurposed_variable,base85.c,89,+,+,--bytes,8,			if (--bytes == 0)
repurposed_variable,base85.c,98,-,+,,3,		buf += 5;
repurposed_variable,bisect.c,56,-,+,,3,		entry = p;
repurposed_variable,bisect.c,74,-,+,,3,		list = list->next;
repurposed_variable,bisect.c,78,-,+,,,"define_commit_slab(commit_weight, int *);"
repurposed_variable,bisect.c,554,-,+,,4,			tried = &list->next;
repurposed_variable,bisect.c,569,-,+,,3,		list = next;
repurposed_variable,bisect.c,588,+,+,count = count * 1103515245 + 12345,2,	count = count * 1103515245 + 12345;
repurposed_variable,bisect.c,647,-,+,,2,"	list = filter_skipped(list, tried, 0, &count, &skipped_first);"
repurposed_variable,bisect.c,700,-,+,,17,	for ( ; tried; tried = tried->next)
repurposed_variable,bisect.c,938,-,+,,2,	argv++;
repurposed_variable,bisect.c,939,+,+,argc--,2,	argc--;
