Type,File,Line,CLJ,CQL,CLJ_Code,CQL_Column,CQL_Code
type_conversion,AEDataModel.h,231,+,-,(int)0xFFFFFFFF,,
type_conversion,CodeFragments.h,63,+,-,(int)0xFFFFFFFF,,
type_conversion,CodeFragments.h,93,+,-,(int)0xFFFFFFFF,,
type_conversion,Collections.h,50,+,-,(int)0xFFFFFFFF,,
type_conversion,Files.h,1108,+,-,(int)0xFFFC0000,,
type_conversion,Files.h,1359,+,-,(int)0xFFFFFFFC,,
type_conversion,Files.h,7188,+,-,(int)0x80000000,,
type_conversion,Gestalt.h,464,+,-,(int)0xFFFF0000,,
type_conversion,Gestalt.h,2412,+,-,(int)0xFFFF0000,,
type_conversion,Gestalt.h,2413,+,-,(int)0x80000000,,
type_conversion,IconsCore.h,288,+,-,(int)0xC4686C70,,
type_conversion,IconsCore.h,290,+,-,(int)0xC46E6574,,
type_conversion,IconsCore.h,292,+,-,(int)0xC46C6F63,,
type_conversion,IconsCore.h,297,+,-,(int)0xC4707264,,
type_conversion,IconsCore.h,302,+,-,(int)0xC4736372,,
type_conversion,IconsCore.h,303,+,-,(int)0xC46C6962,,
type_conversion,IconsCore.h,312,+,-,(int)0xC4746578,,
type_conversion,MacErrors.h,2938,+,-,(int)0x80008001,,
type_conversion,MacErrors.h,2939,+,-,(int)0x80008002,,
type_conversion,MixedMode.h,268,+,-,(int)0xFFFFFFC0,,
type_conversion,PEFBinaryFormat.h,1172,+,-,(int)0xF04D6163,,
type_conversion,Script.h,598,+,-,(int)0xFFFFFFFF,,
type_conversion,abspath.c,23,-,+,,53,	while (offset < len && !is_dir_sep(path->buf[len - 1]))
type_conversion,abspath.c,26,-,+,,52,	while (offset < len && is_dir_sep(path->buf[len - 1]))
type_conversion,abspath.c,42,-,+,,42,	for (start = remaining->buf; is_dir_sep(*start); start++)
type_conversion,abspath.c,45,-,+,,40,	for (end = start; *end && !is_dir_sep(*end); end++)
type_conversion,abspath.c,48,-,+,,26,"	strbuf_add(next, start, end - start);"
type_conversion,abspath.c,50,-,+,,27,"	strbuf_remove(remaining, 0, end - remaining->buf);"
type_conversion,abspath.c,59,-,+,,39,"	strbuf_add(resolved, remaining->buf, offset);"
type_conversion,abspath.c,63,-,+,,27,"	strbuf_remove(remaining, 0, offset);"
type_conversion,abspath.c,110,-,+,,25,	while (remaining.len > 0) {
type_conversion,abspath.c,113,-,+,,19,		if (next.len == 0) {
type_conversion,abspath.c,115,-,+,,26,"		} else if (next.len == 1 && !strcmp(next.buf, ""."")) {"
type_conversion,abspath.c,117,-,+,,26,"		} else if (next.len == 2 && !strcmp(next.buf, "".."")) {"
type_conversion,abspath.c,124,-,+,,49,		if (!is_dir_sep(resolved->buf[resolved->len - 1]))
type_conversion,abspath.c,152,-,+,,10,"			len = strbuf_readlink(&symlink, resolved->buf,
					      st.st_size);"
type_conversion,abspath.c,153,-,+,,12,					      st.st_size);
type_conversion,abspath.c,154,-,+,,14,			if (len < 0) {
type_conversion,abspath.c,270,-,+,,39,	size_t pfx_len = pfx ? strlen(pfx) : 0;
type_conversion,abspath.c,275,-,+,,13,		pfx_len = 0;
type_conversion,abspath.c,311,-,+,,59,		if (sb->len > orig_len && !is_dir_sep(sb->buf[sb->len - 1]))
type_conversion,abspath.h,30,-,+,,20,	return is_dir_sep(path[0]) || has_dos_drive_prefix(path);
type_conversion,add-interactive.c,29,-,+,,12,		dst[0] = '\0';
type_conversion,add-interactive.c,146,-,+,,11,			*len = 0;
type_conversion,add-interactive.c,150,-,+,,7,		if (c != other_string[*len - 1])
type_conversion,add-interactive.c,168,-,+,,11,	for (i = 0; i < list->items.nr; i++) {
type_conversion,add-interactive.c,175,-,+,,11,	for (i = 0; i < list->sorted.nr; i++) {
type_conversion,add-interactive.c,180,-,+,,10,		*len = 0;
type_conversion,add-interactive.c,185,-,+,,12,				*len = 0;
type_conversion,add-interactive.c,190,-,+,,11,		if (i > 0)
type_conversion,add-interactive.c,193,-,+,,11,		if (i + 1 < list->sorted.nr)
type_conversion,add-interactive.c,213,-,+,,10,		return -1;
type_conversion,add-interactive.c,214,-,+,,11,	else if (index + 1 < list->sorted.nr &&
type_conversion,add-interactive.c,216,-,+,,10,		return -1;
type_conversion,add-interactive.c,217,-,+,,11,	else if (index < list->sorted.nr &&
type_conversion,add-interactive.c,221,-,+,,10,		return -1;
type_conversion,add-interactive.c,245,-,+,,14,	for (i = 0; i < list->nr; i++) {
type_conversion,add-interactive.c,287,-,+,,18,	int singleton = opts->flags & SINGLETON;
type_conversion,add-interactive.c,288,-,+,,18,	int immediate = opts->flags & IMMEDIATE;
type_conversion,add-interactive.c,334,-,+,,19,"			ssize_t from = -1, to = -1;"
type_conversion,add-interactive.c,344,-,+,,8,			if (*p == '-') {
type_conversion,add-interactive.c,350,-,+,,15,			if (sep == 1 && *p == '*') {
